term document_frequency
1.75 24
tear 32
relev 42
volum 368
dug 6
soviet-era 17
mental 33
edgi 4
cocktail 8
bureaucrat 20
foul-up 1
intention 6
withhold 9
17-year 2
seven-year 10
deliveri 132
red 161
tape 35
larger 214
in-fight 2
bodi 276
multi-billion-dollar 7
exacerb 10
rhona 1
o'connel 2
hoar 41
understand 189
meddl 19
backfir 11
silver 26
refug 26
silenc 36
run 364
catalyt 5
dentistri 1
$240.00 1
ounc 81
sister 41
$500.00 1
$416 1
reorganis 57
reserv 356
gokhran 1
function 146
ministri 403
quota 83
procedur 123
almazjuvelirexport 2
almaz 1
mid-jun 12
japan 309
quot 316
japanes 239
resumpt 22
guess 63
clam 2
berlin 7
vitali 2
almaz' 1
technic 180
blame 203
undergon 10
gosfond 1
aegi 1
roskomdragmet 1
administ 27
stone 28
disband 23
mid-1996 9
reshuffl 22
jurisdict 26
disagre 35
theori 43
disinform 2
boikin 1
ministry' 43
depart 414
licenc 133
stockpil 26
dwindl 25
plenti 69
thought 251
readi 201
yeltsin 17
central 569
campaign 301
iraqi 9
baghdad 4
gear 133
much-need 14
medicin 23
agababov 1
zarubezhneft 3
moscow-bas 4
coordin 53
oil-for-food 4
renew 135
180-dai 1
iraq 13
humanitarian 6
repar 3
gulf 33
victim 86
baghdad' 1
invas 21
kuwait 8
28.54 1
whop 14
23.4 2
121.6 1
let' 15
jinx 1
u.n 26
deleg 86
somo 1
pre-negoti 1
lift 188
load 82
22-25 2
insid 124
geopolit 2
keen 150
flush 29
repai 34
$7 44
lukoil 18
52.5 5
23-year 3
production-shar 17
iraq' 6
qurnah 1
mashinoimport 2
equip 280
organis 369
wheat 39
veget 22
foodstuff 22
oil-produc 3
benchmark 53
brent 10
blend' 1
nearbi 80
quantiti 40
$18.74 1
$5.00 3
nearby-contract 1
tougher 96
hand 545
vladimir 43
bjedougov 1
alfa-eko' 1
lifter 1
hit 626
failur 163
u.n.-iraqi 1
fluctuat 45
differ 238
experi 187
contrari 22
easier 139
bare 129
peasant 23
vast 102
agricultur 119
choic 175
adopt 87
effici 228
viktor 28
khlystun 5
70 229
net 648
grain 68
import 277
seventi 4
soviet-styl 4
handout 12
farm 91
appoint 209
beleagu 30
lobby' 1
cabinet 146
stabilis 96
modestli 17
calmli 12
10-15 10
chronic 28
lazi 8
ineffici 32
motion 37
root 40
thrive 27
115 17
unwil 36
lend 143
dry 60
farmer 109
redress 11
smaller 310
imbal 15
input 16
introduc 331
land 192
back 249
consent 21
conserv 221
parliamentari 61
centralis 9
maiz 10
69.3 3
worst 90
decad 273
notch 16
khlystun' 2
forecast 746
loosen 23
procur 19
armi 209
far-flung 15
basi 337
notabl 50
flop 4
ey 176
upgrad 183
lighter 12
hydrocrack 3
fluid 9
cracker 7
sophist 77
naphtha 2
diesel 26
rare 80
crack 103
scream 16
consult 362
2000 244
254,000 1
bpd 18
131,000 1
high-octan 1
5.9 22
5.2 27
waysid 1
vice-presid 96
charbel 1
ackermann 1
substitut 17
28 180
lender 62
loan 269
bechtel 4
parker 1
kirishi 1
chevron 12
$750 14
yaroslavl 1
$60 43
angarsk 1
siberia 19
kellogg 22
$70 27
omsk 1
abb 8
lummu 1
perm 2
samara 1
rif 1
usmanov 1
ufa 2
40,000 47
ryazan 1
south 463
24,000 6
adjust 132
height 35
column 22
tinker 17
houlder 6
centreinvest 9
$200-$300 2
squeez 96
ambit 54
logic 58
continent 79
state-of-the-art 7
high-tech 48
volga 1
ural 6
absorb 70
market' 71
absorpt 1
inclin 9
diamond 38
ruin 5
near-deplet 1
gold 237
bullion 27
exact 44
size 282
natalya 2
khomenko 1
empti 29
bank' 170
rubl 1
ton 29
moscow' 18
furious 4
clue 25
audit 51
chamber 90
gem 9
4.6 28
end-1995 4
budget 215
4.5-4.6 1
$800 41
authorit 6
andi 24
ub 65
caution 94
truth 26
little-known 5
check 116
boil 7
raj 5
kohli 3
pariba 18
sister-met 1
rough 35
one-quart 16
replenish 6
reviv 64
shortfal 74
johannesburg 9
currenc 263
gazprom 20
empir 81
abroad 179
shareholders' 70
arguabl 11
event 186
declar 217
tussl 19
nonpay 3
depress 84
gazprom' 9
undermin 67
butayev 1
renaiss 14
absolut 101
uniqu 54
emerg 352
crisi 113
crippl 35
heel 40
clean 94
dent 37
fundament 204
ivan 16
mazalov 1
26 162
country' 281
voter 43
chernomyrdin 18
unquest 4
plug 29
deficit 158
$608 3
auditor 23
waterhous 18
pre-tax 189
45 177
$7.8 7
unknown 38
discrep 21
radic 86
rich 104
wealthi 35
surpris 320
34 81
europe' 72
eurobond 19
bond 171
tranch 20
wildly-success 1
depositari 24
adss 8
lyonnai 31
dresdner 18
kleinwort 33
benson 31
bridg 29
medium 91
$2.5-$3.0 1
state-own 184
$16.5 6
ekho-moskvi 1
influenti 85
politician 128
berezovski 2
council 236
lobbi 98
2010 23
$40 55
yamal 4
bicker 11
pragmatist 1
grei 25
reshap 21
bloat 14
transpar 77
arisen 5
golden 68
boi 31
fairer 2
stretched-to-capac 1
first-quart 46
commonwealth 43
7.2 15
2.0 27
'who 1
pipelines?' 1
administr 379
transneft 8
hand-pick 18
proteg 9
sergei 14
kiriyenko 1
stimuli 1
telegram 3
wednesday' 57
edit 54
kommers 1
method 99
prioriti 128
balanc 330
38 70
highest-earn 1
overhaul 71
divid 66
section 21
ott 1
old-tim 1
supervisori 25
handl 250
obsolet 13
vastli 17
lead 797
privatis 271
petroleum 75
club 122
strip 64
legion 3
explor 206
baron 14
rosneft 11
frontier 39
sibneft 3
promin 108
rosneft' 3
filipp 1
murashkov 1
mini-major 3
sibneft' 1
analys 33
statu 186
recipi 17
offtak 4
deadweight 2
liabil 88
defunct 5
island 145
sakhalin 6
$22 27
sakhalin-i 1
centuri 259
affili 85
7.5 77
caspian 13
consortium 165
kazakhstan 33
$20 141
timan-pechora 5
reek 1
privileg 37
variabl 38
tortuou 4
output-shar 5
unsur 17
exxon 13
amoco 11
franc 348
fate 62
hypothet 6
government-appoint 2
bespalov 1
undertaken 18
valentin 5
zlatov 1
oversaw 14
chairmen 6
empow 16
noyabrskneftegaz 1
won 277
pre-determin 3
winner 109
10th 21
262,000 2
envis 7
75-77 2
andrei 16
sizov 9
sovecon 8
68 45
2.9 29
hectar 29
drought 18
tractor 8
9.3 20
rot 5
72 38
under-report 2
actual 87
rain 63
yield 144
stuff 25
meteorolog 3
constantli 19
stick 86
rosselkhozakademiya 1
concret 58
arkadi 4
blyumin 1
informzerno 1
69 58
chernyakov 1
u.s.-canada 2
80 246
hide 34
63.4 7
halt 156
wet 24
northern 218
caucasu 4
smelt 12
tarnish 26
government' 249
preview 17
puniest 1
payout 89
infinitesim 1
sum 77
dollar 436
1995' 40
438 4
213,000 2
idl 62
vetchinin 6
frustrat 57
ordinari 77
regard 142
circl 38
crying...w 1
improv 764
social 239
entrust 12
temporarili 62
units' 1
item 167
charter 60
instruct 34
6.9 20
16.9 4
debtor 9
unrest 61
gyrat 4
satisfi 79
progress 322
wage 156
halv 35
downhil 3
slide 94
proof 40
decre 36
3.29 2
like 36
ceas 17
5,760 1
shine 12
ted 29
reev 6
scotia 36
russian-canadian 1
seminar 26
rank 157
pa 12
gido 1
baleyzoloto 1
canadian-russian 1
chita 1
gritsayev 1
komdragmet 4
43 85
short-term 147
mere 24
$45 15
tini 105
fraction 38
$3.6 21
kyshtymov 2
108 17
collater 21
katsman 1
non-govern 6
85 73
above-ground 2
alluvi 2
placer 48
deposit 234
below-ground 2
or 50
122 8
deplet 11
artel 1
furthest 4
cypru 4
magadan 1
amax 1
omolon 1
kubaka 1
310,000 2
235,000 2
stumbl 43
wors 62
britain' 478
rtz 12
pull 177
royalti 29
squabbl 9
discord 5
intact 32
rem 3
vyakhirev 3
row 82
100,000 119
massiv 195
bloc 23
well-connect 6
monetari 87
opaqu 14
book 241
strict 67
paint 41
pictur 127
accord 116
conspicu 3
absent 15
debat 183
anatoli 16
chubai 3
chernomrydin 1
examin 79
creed 3
famili 307
quarrel 26
displai 55
$520 7
output; 1
immens 11
unpaid 22
accur 23
unnecessari 24
basic 298
sphere 7
coffer 23
14.8 30
$2.6 10
dizzi 7
64 36
$11.2 8
eighth 22
person 549
alfr 15
kokh 1
outlin 114
broken 99
nut 9
destroi 72
domestically-trad 1
$0.665 1
1230 4
versu 90
$0.620 1
underli 112
$16.45 1
$16.30 1
newest 12
lumber 16
liberalis 129
underpin 42
monolith 5
tackl 63
resili 8
toughest 6
task 133
makeov 1
castig 4
irrelev 15
non-exist 6
bore 23
astronom 2
distort 29
far-reach 17
theoret 11
simpl 54
jochen 1
wermuth 1
economist 192
abolish 38
cross-subsidi 3
territori 268
differenti 31
fine-tun 6
feet 69
prod 6
kremlin 13
gazp.rt 3
stranglehold 8
extent 115
pretend 11
alexei 7
kokin 2
ue 2
eesr.rt 1
transmitt 13
wholesal 56
end-us 17
tightly-integr 1
send 218
excess 132
energo 2
rein 55
wreak 12
havoc 19
chose 58
cheapest 18
shortag 98
marina 4
oganesian 1
troika-dialog 2
passeng 183
whiz 3
kid 33
bill 497
beneficiari 20
scale 160
powerlin 3
mile 117
urgent 43
upstream 11
lukoil' 4
underscor 32
hard-to-recov 2
limp 6
substanti 185
pyotr 15
neyev 4
3.87 3
$673 1
azerbaijan 8
alexand 30
vasilenko 1
millenium 6
west 223
undiversifi 1
non-russia 1
qurnah; 1
$8 48
azeri 5
union; 1
mobil 126
tengiz 4
$5.2 14
18-year 8
richfield 1
arco 1
vertically-integr 9
algeria 2
italy' 32
agip 7
spa 17
african 68
correct 162
copi 70
vagit 4
alekperov 4
half-azeri 1
born 63
baku 5
connect 208
boss 65
80-90 5
remaind 50
three-quart 18
10.7 9
loss-mak 78
spot 109
1.16 6
see 157
2.4 50
tide 20
calcul 112
fill 106
favourit 62
portfolio 165
newly-privatis 5
crime 106
investig 292
kolpakov 1
krasnoyarsk 9
alleg 171
repatri 9
olga 7
semenyaka 1
interior 62
crackdown 122
kulikov 3
crime-ridden 1
gennadi 5
druzhinin 2
krasnoyarsk' 1
probe 116
770,000 1
grigoryev 2
smelter' 3
death 238
toll 54
offshor 66
leo 4
kraz 1
glencor 2
switzerland 28
krazpa 1
nv 58
suggest 307
pin 15
prove 175
private-sector 13
comfort 105
tens 23
zlochevski 3
ogo 3
recov 207
21 212
drought-hit 3
zaveryukha 1
statist 134
71-72 1
74-75 1
avail 30
71-75 1
zlochevksi 1
37 74
lower-rang 1
1965 9
watch 211
all-import 6
look-alik 2
eduard 3
ivanov 2
expedi 3
languag 87
wealth 44
one-third 80
95 157
39 62
rodionov 11
halfwai 9
correctli 5
unrealist 14
cabinet' 8
fresh-fac 2
argu 245
gas-fir 9
laid 72
covet 18
3.5 62
element 106
facilit 26
sympathet 12
indebt 26
drool 3
adss; 2
abn-amro 5
goldman 68
sach 61
award 112
strictly-divid 2
paper 161
cheater 2
ukraine' 5
ukrain 22
tajikistan 4
alumina 10
mykolayivski 1
hlynozemni 1
mykolayivskii 1
reluct 95
mikolayivskii 1
mikolayivskiy' 1
hennadi 2
bushtruk 1
$270 4
tajikistan' 1
tursunzad 1
capabl 134
smelters' 2
lack 283
800,000 36
naught 1
kranosyarsk 1
preceed 4
pavlodar 2
kazakh 15
london-bas 65
trans-world 6
achinsk 2
700,000 23
carryov 7
spree 31
soi 6
brazilian 16
argentin 7
soymeal 12
4.0-4.5 3
500,000 66
supplement 25
suffici 67
interpret 40
time-fram 2
ambartsumyan 2
exportkhleb 2
baranov 1
flour 8
5.5 63
roskhleboprodukt 1
1996/97 214
3.5-4.0 1
barlei 3
200,000-300,000 1
rye 2
rice 32
legitim 24
flight 150
tundra 1
trip 88
frozen 38
kara 1
sea 81
gigant 8
highwai 32
airport 154
wind 70
blind 21
snow-blanket 1
local 796
lurk 13
arrai 32
nuclear 62
hour' 3
bumpi 16
ride 90
sun 142
pall 7
filth 1
monument 8
menacingli 1
gruesom 1
gritti 7
blanket 21
fume 5
dark 35
resid 144
hallwai 2
blue 64
ic 41
temperatur 25
minu 27
celsiu 7
58 52
fahrenheit 3
winter 53
samokhin 1
puls 3
ghost 5
dictat 30
josef 65
stalin 9
exil 110
forsaken 2
planet' 1
richest 48
desol 2
pure 71
mitrofan 1
rubeko 1
85-year-old 1
survivor 12
stalin' 4
purg 15
200 211
320 20
outpost 13
outrag 29
spartan 3
innoc 17
mention 116
museum 29
episod 26
union' 50
heaven 11
publish 331
town' 4
rubeko' 1
erect 21
polic 255
kgb 1
supervis 73
thinli 17
clad 3
sleep 16
wooden 5
barrack 14
floor 58
copper 135
skelet 2
dinosaur 3
belch 4
gase 4
cobalt 15
descend 16
children 113
hardi 9
soul 10
metalwork 1
older 90
danger 124
suppos 48
birth 25
yurshov 1
electrolys 2
throe 15
liter 11
pave 53
cancer-induc 1
black 114
slag 1
sparkl 10
sift 14
freez 42
beauti 26
lumin 1
lime-green 1
liquid 133
lace 5
matt 13
slab 5
glint 1
earth' 3
cobbl 6
expos 57
entrail 1
frame 37
line 333
mediaev 1
carcinogen 3
norm 16
worthi 10
attain 18
women 44
men 54
newborn 1
babi 66
ill 92
handicap 14
aura 2
pervad 1
keyerkan 1
vallei 44
dolgan 1
difficulti 144
tab 10
multi-billion 39
where' 2
shake 40
silver-hair 1
underground 34
hell 16
deep 119
taimyr 1
permafrost 2
darker 2
round 215
clock 35
shift 229
cavern 11
tunnel 41
worm 11
earth 31
galleri 4
dynamit 6
finger 23
faint 4
breez 1
ventil 2
shaft 8
minut 121
rumbl 7
distant 8
rocket' 3
afterburn 1
cabl 205
rust 4
love 55
incit 15
laughter 6
ferri 37
bowel 1
embodi 4
socialist 56
city-factori 1
societi 162
test 235
hundr 140
uproot 5
clime 1
baromet 19
cast 76
hotli 23
contest 60
you'd 12
kalashnikov 1
policeman 15
unemploi 19
wander 5
1938 10
midnight 200
knock 55
despair 4
man 226
66 42
stalinist 57
shoe 32
answer 96
grave 13
dead 69
kinder 4
spiritu 30
die 35
surviv 122
smile 24
bite 35
quell 19
holidai 146
2 215
plea 27
bailout 6
queue 11
yuko 7
'what 1
us?' 1
pavlenko 1
900 39
overdu 12
uneximbank' 1
shoulder 29
non-met 1
stepp 2
region' 50
1.2 150
42 83
potanin 3
sceptic 74
protract 6
multifacet 2
materialis 15
seed 32
sinitsyn 1
postur 4
yearli 18
nil 7
5,689 1
fewer 88
big-ticket 5
downstream 15
shakeout 5
undoubtedli 14
winnow 3
o'sullivan 8
mc 12
awash 12
overcapac 26
6.8 30
outstrip 16
5.8 10
dan 103
lubash 3
merril 102
lynch 106
tend 66
norsi-oil 1
annoi 8
resal 22
sidanco 1
money' 2
remot 75
pool 49
expertis 101
fail 427
shafranik 5
tyumen 5
onako 2
slavneft 2
agenda 90
corrupt 69
scare 29
badly-need 6
intervent 38
luminari 6
metallurgi 5
delic 21
scandal 77
discourag 35
pump 46
igor 11
prokopov 5
example: 2
alcoa 2
itali 44
spain 68
copeck 1
gather 123
1992-1994 1
stagnant 19
consumpt 83
kg 2
capita 17
compon 160
virtual 189
solv 100
vsevolod 1
generalov 1
steadili 45
five-digit 1
recoup 30
value-ad 33
526 1
$92.2 1
1.19 2
vertic 17
$1.5 63
gover 5
artifici 22
barrier 98
worsen 35
hesit 19
slam 35
kulikov' 2
moment 181
whatsoev 9
5706 1
woe 53
modifi 21
valeri 4
alfimenko 1
combine' 1
more; 1
arriv 264
sundai 317
leonid 2
binder 2
no-confid 8
protest 244
intermediari 8
nefyodova 1
interrosimpex 4
distributor 50
choos 115
shares-for-loan 2
mechan 54
modest 102
kolerov 1
coloss 4
dockworkers' 2
dire 10
strait 22
cutback 18
dudinka 3
nikel' 2
appal 9
ruslan 3
fedorovski 3
barclai 33
physic 58
breakdown 30
lay-off 5
80,000 24
non-product 2
ancillari 4
depth 22
wonder 71
sluggish 91
ongo 75
bail-out 5
13 252
$2.3 34
auster 14
founder 99
krupp 2
thyssen 2
nirosta 2
gmbh 7
ktn 2
fri 11
hoesch-krupp 2
$95 12
translat 56
softer 27
pre-paid 6
180,100 4
fix 207
ballpark 6
5,376 2
disast 56
unpredict 9
'better' 1
comparison 94
surplu 101
sow 6
totski 2
revers 144
five-year 77
sown 9
public-sector 4
35-38 1
35 207
degre 85
normal 146
trenin 1
serious 91
suck 11
moistur 11
snap 59
frost 10
pattern 99
winterkil 2
lowest 69
cooler 7
spring 116
breadbasket 1
31-33 1
paltri 5
25.4 7
11.6 9
almaty' 1
agro-industri 1
show 149
14.5 21
16.1 9
asian 264
downpour 2
autumn 45
card 188
usual 76
ev 43
beet 4
stabil 166
mid-juli 10
supplant 8
backlog 26
novorossiisk 7
soak 8
unplac 1
cargo 162
14-21 1
250,000 49
baltic 6
edg 162
80,700 1
90,000 25
indian 19
warehous 70
400,000 57
jam-mak 1
season 245
spur 87
preempt 3
end-jun 5
high-qual 23
bottler 4
drawn 109
pick-up 19
inelast 1
dispos 143
incom 383
room 167
leap 46
middlemen 4
wild 36
crazi 20
hopefulli 39
layer 11
secreci 10
sukhoi 4
log 25
invit 78
tap 72
dorado 8
long-stal 7
long-delai 26
billion-dollar 12
hard-rock 1
busang 105
indonesia 166
open-pit 3
untap 9
lenzoloto 1
49 68
australian 304
nl 9
nomin 71
secretari 279
mikhailov 2
ravin 3
siberia' 5
troi 12
bucket 14
124 6
log' 1
sixti 5
variat 14
decades-long 2
feasibl 34
gold-recoveri 1
grade 69
ascertain 2
geologist 21
yatskevich 1
sevodnya 1
wish 47
flag 121
incred 34
andrea 16
hotter 7
bulletin 13
$12.4 4
cough 4
silk 4
purs 3
bonu 59
bank-guarante 1
project' 5
memorandum 26
jci 2
jewel 24
postpon 56
capitalist 98
catch 70
stand 275
defi 34
analysts' 176
eas 214
nations' 4
ban 247
96 42
cash-pai 1
bullish 89
fistful 1
570 4
catherin 15
macdougal 1
excis 14
51,000 3
83,000 1
$9.50 4
$15.46 1
bracket 9
vasilyev 2
opec 3
windfal 36
petrodollar 1
mighti 18
militari 210
machin 262
precursor 8
adher 13
shipment 111
'profit' 1
quotat 5
$1=5367 1
cleaner 11
composit 99
pavi 1
shahidi 1
multi-million 25
ring 48
$12 36
lukyanov 1
50-55 3
compris 58
75-80 1
deeper 28
treatment 133
mazut 3
sludgi 1
liz 4
barrett 6
stymi 4
flexibl 112
sulphur 4
design 307
cluster 4
volga-ur 1
under-utilis 5
55 90
desulphur 1
low-sulphur 1
spite 25
scaled-back 1
bankrupt 28
military-industri 1
21.9 1
throughput 10
57.7 2
dame 4
sisters' 1
nk 2
miller 49
lent 18
unspecifi 30
10.5 50
publicly-trad 5
bunch 19
gun 41
queen 13
coin 11
1950 36
popularis 3
royal 152
dutch/shel 15
saudi 22
aramco 1
arabia 10
outshin 2
slight 60
shell 22
bp 15
recover 5
years' 25
extract 28
bless 24
driller 1
exploratori 8
joke 32
alaskan 2
babushka 1
grandmoth 1
bold 41
mull 33
curb 136
almazi 6
rossii-sakha 5
ar 7
drew 70
kernot 1
leakag 10
chaplin 2
correspond 36
nascent 11
polish 26
impress 118
backped 1
counsel 57
context 36
stop 129
interim 151
livshit 3
enliven 4
slowli 83
beers' 5
worldwid 288
leak 47
$80-$100 1
lid 16
unauthoris 43
stockkpil 1
shape 84
resign 156
loser 23
abuzz 3
multin 48
nonent 1
tip 72
samusev 1
rosprom-yuko 1
rosprom 1
attach 43
reformist 10
unnam 33
sensibl 21
exempt 28
u.s.-bas 78
$52 1
priobsk 4
august 347
lentransgaz 1
petersburg-bas 2
welcom 186
attitud 77
6.03 4
sovereign 29
couldn't 34
exert 18
thrust 21
knight 27
armour 18
cheer 43
worri 282
mire 27
tardi 2
signific 25
greenfield 4
unruli 10
parliament 178
duma 5
legisl 256
cocker 2
ernst 18
young' 8
linchpin 1
riski 30
gap 120
lurch 3
eugen 17
khartukov 3
gloomi 14
mastermind 10
showcas 23
nizhni 1
novgorod 1
alongsid 39
nemtsov' 1
brain 21
reform-mind 1
inject 94
market-economi 2
fec 1
loggerhead 4
corridor 25
ear 11
drift 15
titan 17
renationalis 1
imposs 81
unifi 30
solidar 11
presman 1
reuben 1
non-control 1
novokuznetsk 2
he'll 7
confisc 16
reassur 55
depriv 16
dirti 17
crimin 129
prosecutor-gener 2
unpleas 5
factori 169
commentari 40
smear 3
incorrect 9
true 102
damag 223
polici 586
nothing' 4
jv 3
turnaround 93
zarko 2
stefanovski 2
$4.40 3
per-barrel 1
$2.70 2
$2.75 8
$2.00 4
$0.65 5
$1.30 5
$0.35 2
nightmar 18
moral 32
skew 4
6.2 23
everyone' 18
cheaper 121
faster 138
brian 72
leonard 20
komiarcticoil 2
komineft 1
geolog 11
cousin 13
framework 55
plead 40
bow 46
scrape 12
million 176
50-50 27
phibro 2
sidanko' 2
varyoganneftegaz 1
nonsens 10
hang 71
smallest 38
plung 142
consensu 151
elena 1
merkoulova 1
percentag 157
1987 58
5.60 2
regim 55
upturn 40
rocki 14
slippag 7
sintez 1
scarc 15
stagnat 12
follow 164
rel 109
temporari 68
phenomenon 20
slowdown 71
infotek 2
139,000 2
unprofit 36
rehabilit 17
drill 49
pose 82
medium-term 18
ail 69
shrank 5
code 92
easy-to-recov 1
miss 64
dog 60
mideast 1
backyard 12
host 99
minor 190
qurana 1
oilfield 11
sanction 42
preparatori 33
observ 131
popov 1
hasten 13
speed 164
smart 37
660,000 1
yevgeni 7
primakov 3
tareq 1
aziz 4
comrad 36
u.n.' 2
stringent 19
tatneft 1
chines 872
post-sanct 1
unnerv 9
minefield 4
carefulli 72
instabl 31
coal 36
$148.7 1
ilya 1
korotkov 1
vinogradova 1
heard 101
pre-financ 1
$7,530 1
$7,850 1
138 4
khloponin 1
swamp 12
130 37
strug 1
cash-suck 1
fly 104
soap 33
$1=5379 1
chechnya' 2
pope 7
finest 4
paraffin 1
wax 4
vatican' 2
holi 15
candl 6
shell-scar 1
flicker 6
bomb 73
moslem 30
grozni 2
aftermath 23
century-old 4
steal 22
illicit 15
petrol 22
bootleg 2
unmatch 4
ek 3
million-strong 4
destitut 4
reconstruct 24
mainstai 14
oil-rich 9
dream 56
rebel 102
dzhokhar 1
dudayev 1
rout 199
we'd 45
gold-plat 4
camel' 1
milk 21
nicknam 10
'cyclone' 1
roof 27
chechnya 7
resembl 17
moon 16
sub-machinegun 1
jar 4
home-mad 7
illeg 145
black-market 1
begun 131
wartim 6
necess 17
chemistri 4
stolen 14
bath-lik 1
contain 82
siphon 3
dash 26
colour 38
powder 26
drink 115
aslan 1
maskhadov 1
elect 422
facto 33
rebuild 33
everybody' 9
octan 2
evil 4
bootlegg 1
stealthili 1
raid 37
tsotsin-yurt 1
villag 65
23-year-old 2
lyomi 1
grower 21
stood 133
knee-deep 2
mud 3
thick 12
smoke 64
billow 4
distanc 118
foothil 1
snow-cap 1
mountain 86
suupli 2
dump 63
pipe 7
pit 25
li 160
cistern 1
purloin 1
cool 61
trickl 11
aceton 1
three-litr 1
gallon 7
glass 42
sprinkl 3
packet 25
turkish-mad 1
soft 70
pale 9
lemon-green 1
tint 2
mimick 1
low-octan 1
wreck 6
kilometr 20
litr 11
spawn 21
futil 9
repair 55
wipe 92
smudg 1
shut 131
khozhakhm 2
yarikhanov 2
yunko 1
lyomi' 1
idea 171
baudin 1
khamidov 1
top-flight 1
lubric 6
oil-refin 1
greatest 47
1890 1
landlock 4
mangi 1
well-f 1
slept 5
hiss 1
wisp 1
steam 27
curl 2
lazili 1
crisp 12
sigh 11
petrov 2
papal 1
battalion 5
wrest 8
5.86 2
chunk 53
authoris 49
danc 19
60-70 4
shuttl 23
lift-off 5
baikonur 1
cosmodrom 1
baby-food 1
mess 21
six-year 16
$20.30 1
71 44
27.5 4
5.3 25
allot 10
